acres,price,lat,lon,source,id,source_id,ppa,county,id
40.00,169000.00,39.2658,-106.072,landwatch,2,331137583,4225,Park County,2
6.87,15900.00,38.908506,-105.765188,landwatch,4,331306408,2314.41048,Park County,4
35.00,135000.00,38.717323,-106.092632,landwatch,6,330566616,3857.142857,Chaffee County,6
12.39,335000.00,38.729244,-106.130766,landwatch,9,327058575,27037.93382,Chaffee County,9
,,38.732941,-106.174206,landwatch,17,327609781,0,Chaffee County,17
9.90,1950000.00,38.827873,-106.109157,landwatch,18,331640367,196969.697,Chaffee County,18
2.10,549000.00,38.496696,-106.011071,landwatch,19,331683083,261428.5714,Chaffee County,19
35.00,134000.00,39.1811,-105.7902,landwatch,23,330444314,3828.571429,Park County,23
1.20,179500.00,38.84,-106.15,landwatch,32,327851635,149583.3333,Chaffee County,32
90.00,700000.00,39.26324,-105.66215,landwatch,37,331306396,7777.777778,Park County,37
2.00,31500.00,39.2712935,-105.7256473,landwatch,41,331306486,15750,Park County,41
1190.00,2400000.00,40.092206,-106.148391,landwatch,50,331751362,2016.806723,Grand County,50
176.00,4700000.00,40.08230733,-106.4881182,landwatch,56,327609597,26704.54545,Grand County,56
,,38.670458,-106.121971,landwatch,58,327609733,0,Chaffee County,58
2.79,64900.00,38.860947,-106.191073,landwatch,64,27017546,23261.64875,Chaffee County,64
156.20,650000.00,38.839235,-105.331979,landwatch,74,331751336,4161.331626,Park County,74
80.00,250000.00,38.912,-105.723,landwatch,99,331611671,3125,Park County,99
4.54,17900.00,38.839329,-105.762012,landwatch,101,331306400,3942.731278,Park County,101
252.00,550000.00,38.812464,-105.606056,landwatch,110,331751281,2182.539683,Park County,110
3.00,19900.00,39.215263,-105.7717,landwatch,127,331034067,6633.333333,Park County,127
0.25,269000.00,38.53902,-105.99528,landwatch,139,331574574,1076000,Chaffee County,139
5.15,23900.00,39.125925,-105.9863847,landwatch,140,331306487,4640.776699,Park County,140
,,38.582845,-106.080008,landwatch,146,27701255,0,Chaffee County,146
0.37,215000.00,38.542187,-106.001441,landwatch,163,28423851,581081.0811,Chaffee County,163
40.00,289000.00,39.07163,-106.29004,landwatch,164,327093776,7225,Lake County,164
5.00,39900.00,39.277901,-105.725148,landwatch,174,331306402,7980,Park County,174
6.64,155000.00,38.500634,-105.993496,landwatch,185,330985445,23343.37349,Chaffee County,185
0.27,69500.00,38.513552,-106.064498,landwatch,191,331342196,257407.4074,Chaffee County,191
5.42,35000.00,38.859908,-105.793769,landwatch,194,331306397,6457.564576,Park County,194
36.00,67000.00,39.29556756,-106.0352824,landwatch,196,25088498,1861.111111,Park County,196
3.00,19900.00,39.214333,-105.77045,landwatch,199,331034062,6633.333333,Park County,199
35.00,135000.00,38.713728,-106.096973,landwatch,208,330566618,3857.142857,Chaffee County,208
0.68,72000.00,38.539957,-106.195148,landwatch,222,320302655,105882.3529,Chaffee County,222
2.50,49900.00,39.200422,-106.04418,landwatch,231,331306403,19960,Park County,231
20.00,625000.00,38.7476,-105.549,landwatch,242,327985974,31250,Park County,242
1.93,650000.00,38.8669,-106.21,landwatch,244,327860218,336787.5648,Chaffee County,244
7.29,229000.00,38.540071,-106.23745,landwatch,259,330485460,31412.89438,Chaffee County,259
570.00,2375000.00,38.847565,-105.324873,landwatch,263,331751206,4166.666667,Park County,263
2.00,15900.00,39.274986,-105.765638,landwatch,279,331306399,7950,Park County,279
0.30,12900.00,39.113699,-106.334229,landwatch,281,331306417,43000,Lake County,281
2.35,100000.00,38.547819,-106.102359,landwatch,283,330546796,42553.19149,Chaffee County,283
9.35,379000.00,38.717122,-106.103447,landwatch,284,327609745,40534.75936,Chaffee County,284
35.00,135000.00,38.720772,-106.087868,landwatch,290,330566614,3857.142857,Chaffee County,290
3.00,35000.00,39.242264,-105.740511,landwatch,301,331306407,11666.66667,Park County,301
36.83,2690000.00,38.515405,-105.9873,landwatch,304,330422842,73038.28401,Chaffee County,304
2.00,74500.00,38.545875,-106.087321,landwatch,314,28263924,37250,Chaffee County,314
39.55,74000.00,39.035,-105.6551,landwatch,319,327985971,1871.049305,Park County,319
